Product Name,Star Rating,Customer Review,Sentiment Analysis Score,Sentiment Category
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",1.0 out of 5 stars,"Pray you don't receive a defective product : Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!",3,Neutral
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",5.0 out of 5 stars,Best phone : Nice phone camera better attractive look,5,Very Positive
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",5.0 out of 5 stars,Must to have redmi phone : Design-GoodCamera-NiceDisplay-satisfactoryBattery backup-Up to the markOverall-Must to have phone for redmi lovers,2,Negative
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",1.0 out of 5 stars,"Bad : The headphone jack is not working  😡 Despite the customer care approved the replacement the delivery boy is not listening to them.He is standing at the door, calling this or that official and not replacing my phone. I feel so much harassed. Please somebody intervene.",1,Very Negative
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",5.0 out of 5 stars,"Redmi is the 👍💯 : First sell, First order. Mobile is very nice...",2,Negative
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",1.0 out of 5 stars,"Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles : Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles .Reason for choosing this title earlier i used a pro version model , Now i am reviewing this model after 3 days of usage.1. Ear speaker quality in outdoor's very poor  . Keep your headphones handy ,2.Sensor's are not working properly ( this is the reason i choose this title , sensor quality is based on price )3.App search option is not available  , you must be very patient to search required app when you have an urgent need , you have to swipe all your mobile to choose required app . or change the launcher . default launcher is not capable of doing this basic function .Rest all other functions are good  .",4,Positive
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",1.0 out of 5 stars,"Worst phone with ghost touch : Worst phone ever. Don't buy ths phone.heating issue at the bottom side of touch screen, touch button as well as ghost touch activates on its own within 1-2 minutes and you can not use any of the app properly.Initially thought it may be a due to some kind of virus, even after company reset issue is there and also you can see screen flickering very easily.",1,Very Negative
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",1.0 out of 5 stars,"Not recommended. : This is my 4th MI Phone in 3 years. Earlier ones were good.But here The extra battery has made phone heavier and hence has lost it charm, now looks like chinese phone. Earlier ones were as good as other phone apart from brand.Not recommended.Would love to return but it was gift for family,",4,Positive
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",5.0 out of 5 stars,"Best budget smartphone : I bought this for an older relative who needed a basic smartphone. Given its pricepoint I didn't have much expectations for the Redmi 8A but after unboxing and setting it up I have to admit - it looks and behaves like a premium phone!In almost every aspect 8A has been upgraded over the 7A. While it doesn't have a fingerprint sensor, the camera is much better than I expected. There is a bit of lag in opening and switching between multiple applications but it shouldn't be a big deal for people with basic usage patterns. To facilitate better grip, 8A has a non-glassy back that is textured. Overall, I was pleasantly surprised by the phone given its pricepoint. For its target demographic (light users who might just want to take some pics, use social media and the occasional app) this is a great phone.The only drawback I felt is that Xiaomi has been aggressive in bundling custom apps in the phone that deliver lots of ads and sponsored videos by default (and it requires some know-how to disable them).",2,Negative
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",3.0 out of 5 stars,Little bit overheated : Mobile is good at this priceBut when I was using hotspot and screen recording the mobile became overheated it hanged so i switch off it.In this range mobile is really good..,4,Positive
